,auc_train,auc_valid,leaf_cnt,loss_train,loss_valid
0,0.787363,0.784805,1464,0.669291,0.669515
1,0.793355,0.790752,1442,0.649553,0.649975
2,0.797034,0.794421,1444,0.632954,0.633556
3,0.799242,0.796522,1434,0.618859,0.619658
4,0.801484,0.798646,1410,0.606702,0.607696
5,0.802904,0.799997,1394,0.596336,0.597505
6,0.804448,0.801524,1374,0.587246,0.588565
7,0.805656,0.802664,1362,0.579395,0.580877
8,0.806993,0.803947,1348,0.572441,0.574069
9,0.808064,0.80496,1311,0.566382,0.568161
10,0.809111,0.80595,1300,0.561005,0.562925
11,0.810376,0.807157,1288,0.556139,0.558196
12,0.811523,0.808244,1271,0.551768,0.553958
13,0.812503,0.809162,1277,0.547901,0.55022
14,0.81336,0.809951,1251,0.544505,0.546966
15,0.814342,0.810864,1239,0.541302,0.543898
16,0.815181,0.811656,1201,0.538462,0.541176
17,0.815977,0.812389,1203,0.535902,0.538739
18,0.81685,0.813202,1187,0.533478,0.536432
19,0.817689,0.814,1188,0.531248,0.534303
20,0.818423,0.814675,1166,0.529283,0.532454
21,0.8192,0.815389,1150,0.527433,0.530718
22,0.819979,0.816118,1150,0.525652,0.529043
23,0.820881,0.816955,1136,0.523881,0.527385
24,0.821603,0.817606,1122,0.522345,0.525965
25,0.822159,0.818098,1115,0.521023,0.524755
26,0.822886,0.81877,1117,0.519619,0.523451
27,0.82351,0.819339,1120,0.518376,0.522307
28,0.824243,0.820013,1093,0.51706,0.521095
29,0.824919,0.82062,1105,0.515832,0.519974
30,0.825429,0.82107,1095,0.514837,0.519079
31,0.8261,0.821682,1091,0.513698,0.518041
32,0.826657,0.822171,1082,0.512721,0.51717
33,0.827152,0.822604,1076,0.511822,0.516369
34,0.827656,0.823042,1075,0.510927,0.515576
35,0.828133,0.823459,1064,0.510111,0.514858
36,0.828573,0.823848,1050,0.509349,0.514181
37,0.829029,0.824248,1062,0.508572,0.513496
38,0.82947,0.824626,1058,0.507825,0.512846
39,0.82997,0.825071,1047,0.507016,0.512127
40,0.830415,0.825451,1042,0.506327,0.511532
41,0.83081,0.825785,1045,0.505657,0.510955
42,0.831242,0.82615,1043,0.504982,0.510378
43,0.831713,0.826564,1045,0.504287,0.509773
44,0.832092,0.826895,1041,0.503685,0.509251
45,0.832467,0.827213,1039,0.503082,0.508734
46,0.832831,0.827523,1034,0.502515,0.50825
47,0.833315,0.827953,1029,0.501815,0.50764
48,0.833639,0.828225,1027,0.501316,0.507222
49,0.833982,0.828514,1024,0.500795,0.506784
50,0.834394,0.828862,1025,0.500203,0.506287
51,0.834756,0.829165,1022,0.499682,0.505854
52,0.835051,0.829399,1015,0.499224,0.505484
53,0.835362,0.829666,1012,0.498753,0.505085
54,0.835715,0.829962,1019,0.498244,0.504659
55,0.836031,0.830216,1024,0.497782,0.504287
