,8,9,10,11,12
248,226,367,765,879,511
249,184,145,431,542,627
250,243,423,168,692,533
251,170,212,311,484,219
252,157,195,353,491,646
253,221,134,484,594,667
254,200,266,208,180,261
255,131,389,748,455,543
256,138,148,448,988,1303
257,230,399,614,861,2009
258,240,310,448,844,530
259,175,355,506,915,1658
260,138,153,484,292,997
261,248,162,586,724,1324
262,209,169,430,657,1591
263,208,118,453,473,869
264,166,228,189,511,898
265,76,99,236,250,284
266,70,275,367,696,889
267,83,120,391,859,990
268,88,438,469,348,1117
269,237,355,333,462,937
270,141,208,425,202,327
271,71,326,380,247,342
272,210,456,744,476,402
273,143,483,381,1111,365
274,130,221,166,401,463
275,185,311,155,1022,1013
276,222,101,343,357,1870
277,234,128,288,1210,488
278,102,154,142,855,930
279,78,368,360,284,614
280,134,205,211,304,833
281,159,132,415,538,1299
282,93,361,138,336,431
283,92,133,319,1094,1835
284,81,101,304,199,510
285,132,234,711,510,1143
286,233,211,237,771,333
287,242,144,149,615,511
288,181,113,261,589,333
289,131,149,150,408,818
290,152,170,443,793,813
291,83,141,204,182,542
292,87,149,748,172,406
293,237,98,559,373,471
294,103,338,201,554,1189
295,86,141,639,388,443
296,90,380,544,481,813
297,101,109,394,214,603
298,127,100,217,669,942
299,150,374,206,658,835
300,134,275,608,737,224
301,243,385,167,345,936
302,146,125,273,371,394
303,130,135,399,436,449
304,203,238,407,1027,447
305,187,485,312,272,384
306,219,461,353,306,848
307,173,278,368,524,700
308,208,373,672,285,662
309,166,269,416,385,265
310,91,182,190,533,352
311,132,158,463,348,461
312,93,156,251,406,675
313,143,141,94,391,383
314,128,395,442,632,537
315,99,203,196,556,472
316,237,131,284,205,255
317,100,117,236,193,276
318,110,258,342,256,962
319,134,260,394,397,678
320,182,200,168,327,688
321,84,301,628,398,435
322,237,163,345,785,884
323,247,197,192,627,754
324,239,199,382,546,264
325,101,392,300,459,274
326,123,438,380,809,576
327,106,157,133,464,187
328,124,353,175,337,964
329,75,285,318,279,766
330,76,339,391,786,606
331,149,147,263,472,444
332,88,212,259,841,716
333,82,256,136,323,705
