,CPU,GPU,hist_256,hist_1024
0,0.644559,0.644634,0.644577,0.644881
1,0.603146,0.603258,0.603298,0.598724
2,0.566525,0.566645,0.566768,0.563306
3,0.530709,0.530863,0.531693,0.528558
4,0.50009,0.504232,0.500906,0.498945
5,0.476213,0.476373,0.477323,0.474224
6,0.454033,0.453954,0.454982,0.452697
7,0.431547,0.433199,0.434355,0.430679
8,0.414547,0.4176,0.417058,0.41268
9,0.398684,0.399021,0.400532,0.396584
10,0.383575,0.384291,0.386457,0.382854
11,0.369718,0.368139,0.370345,0.372121
12,0.358811,0.358166,0.360537,0.360138
13,0.350108,0.349291,0.352241,0.349223
14,0.340438,0.339598,0.341954,0.339729
15,0.331063,0.332159,0.33112,0.328092
16,0.32219,0.32374,0.320271,0.321604
17,0.312358,0.313561,0.312545,0.315153
18,0.302234,0.304635,0.306393,0.305186
19,0.296997,0.297015,0.29797,0.297124
20,0.291023,0.291368,0.293746,0.291942
21,0.282478,0.285537,0.287762,0.283493
22,0.2782,0.277436,0.279607,0.280461
23,0.274267,0.272486,0.27482,0.272657
24,0.266456,0.265867,0.267972,0.269125
25,0.259457,0.262533,0.263028,0.262311
26,0.256455,0.259192,0.259393,0.257204
27,0.250302,0.256092,0.254129,0.253285
28,0.247853,0.253096,0.251632,0.250032
29,0.241407,0.248929,0.249144,0.247433
30,0.238641,0.24227,0.246569,0.244793
31,0.234992,0.237197,0.243498,0.239371
32,0.231256,0.232733,0.237829,0.235417
33,0.228583,0.228418,0.233388,0.23082
34,0.22674,0.224966,0.23145,0.226364
35,0.2256,0.222729,0.227482,0.223718
36,0.223731,0.220877,0.225035,0.220371
37,0.219877,0.2166,0.22055,0.217122
38,0.215457,0.21514,0.218068,0.215205
39,0.212782,0.213608,0.215988,0.211522
40,0.210406,0.211228,0.214154,0.20825
41,0.206462,0.20773,0.210228,0.206189
42,0.204113,0.205433,0.207631,0.204048
43,0.200727,0.202321,0.206355,0.201619
44,0.198047,0.198849,0.204767,0.198651
45,0.19505,0.1963,0.201342,0.196843
46,0.193379,0.192619,0.199036,0.195191
47,0.190968,0.190863,0.196654,0.191913
48,0.188912,0.188899,0.193749,0.18948
49,0.186491,0.186168,0.191573,0.187294
