,EQBIN_dw,EQBIN_lg
0,0.674549,0.672198
1,0.658375,0.653691
2,0.644009,0.637569
3,0.633315,0.623017
4,0.621262,0.610619
5,0.612394,0.59619
6,0.601748,0.584558
7,0.592261,0.574309
8,0.584082,0.562913
9,0.575599,0.552202
10,0.567217,0.543223
11,0.559856,0.533419
12,0.55413,0.524039
13,0.547791,0.516488
14,0.541399,0.50854
15,0.535957,0.501749
16,0.530038,0.494523
17,0.524601,0.487133
18,0.517471,0.479576
19,0.51302,0.474003
20,0.509593,0.468441
21,0.506048,0.463044
22,0.501225,0.458419
23,0.49808,0.453016
24,0.49534,0.449061
25,0.489273,0.444824
26,0.484868,0.440041
27,0.479333,0.435806
28,0.476597,0.432116
29,0.473125,0.428358
30,0.47072,0.425486
31,0.467259,0.421509
32,0.465439,0.418245
33,0.461501,0.416282
34,0.458148,0.412676
35,0.455198,0.409842
36,0.453114,0.407728
37,0.449495,0.405054
38,0.447182,0.403553
39,0.443452,0.40158
40,0.441482,0.398846
41,0.440383,0.396307
42,0.438191,0.393956
43,0.436628,0.392479
44,0.432854,0.390634
45,0.431272,0.387349
46,0.428212,0.384821
47,0.427142,0.38355
48,0.425205,0.381316
49,0.422534,0.379097
