,CPU,GPU,hist_256,hist_1024
0,32,32,32,32
1,32,32,32,32
2,31,31,32,32
3,32,32,32,31
4,32,31,32,32
5,32,32,32,32
6,32,32,32,32
7,32,32,32,32
8,32,32,31,32
9,31,31,30,32
10,31,32,32,32
11,32,31,32,32
12,31,32,31,31
13,29,32,32,30
14,30,32,32,32
15,29,31,27,32
16,32,32,32,30
17,28,32,28,24
18,29,32,32,31
19,30,22,29,30
20,22,28,27,32
21,32,31,30,31
22,28,28,22,27
23,23,20,27,31
24,22,23,32,31
25,27,32,29,23
26,32,32,31,28
27,18,23,26,21
28,29,26,22,30
29,27,28,32,32
30,32,21,25,26
31,24,21,32,26
32,29,24,27,23
33,21,21,21,21
34,18,20,20,28
35,21,21,21,32
36,21,22,23,19
37,28,20,27,21
38,21,19,18,31
39,20,18,20,18
40,25,31,21,28
41,31,18,22,16
42,17,21,31,27
43,21,29,21,17
44,32,21,32,20
45,28,31,18,30
46,19,18,27,14
47,14,32,22,21
48,31,24,25,29
49,18,24,26,24
