,auc_train,auc_valid,leaf_cnt,loss_train,loss_valid
0,0.776465,0.774952,550,0.671015,0.67115
1,0.782573,0.780972,553,0.652654,0.652913
2,0.786679,0.785039,561,0.637241,0.637614
3,0.789084,0.787428,551,0.624212,0.624691
4,0.791037,0.789297,544,0.612953,0.61355
5,0.792669,0.790933,524,0.603389,0.604078
6,0.794407,0.792609,530,0.594908,0.595701
7,0.79579,0.793972,527,0.587626,0.588504
8,0.796939,0.795046,516,0.581212,0.582192
9,0.798197,0.796289,514,0.57551,0.576564
10,0.799382,0.797416,515,0.570493,0.571639
11,0.800537,0.79856,482,0.566044,0.567251
12,0.801557,0.799547,465,0.5621,0.563382
13,0.802611,0.800571,493,0.558503,0.559854
14,0.803594,0.801525,460,0.555253,0.55667
15,0.804476,0.802382,456,0.552376,0.553858
16,0.80542,0.803289,482,0.549721,0.551269
17,0.806339,0.804187,501,0.547166,0.54877
18,0.807245,0.805059,443,0.544947,0.546613
19,0.808244,0.806021,497,0.542652,0.544383
20,0.808944,0.806663,464,0.540755,0.542566
21,0.810003,0.807702,414,0.5388,0.540661
22,0.810832,0.808478,509,0.537032,0.538967
23,0.811678,0.809302,379,0.535382,0.537366
24,0.812429,0.810005,509,0.533792,0.535851
25,0.813154,0.810711,351,0.532444,0.534543
26,0.813764,0.811289,357,0.531229,0.533381
27,0.814486,0.811977,521,0.529878,0.532089
28,0.814964,0.812432,299,0.528898,0.531149
29,0.815448,0.812916,252,0.527869,0.530143
30,0.816024,0.81346,412,0.526821,0.529146
31,0.816432,0.813852,281,0.526077,0.52843
32,0.816836,0.814233,248,0.525324,0.527717
33,0.81732,0.81468,397,0.524447,0.526894
34,0.817718,0.815073,223,0.523775,0.526239
35,0.818167,0.815483,433,0.522954,0.525479
36,0.818463,0.815773,224,0.52235,0.5249
37,0.818848,0.816134,336,0.521715,0.524306
38,0.819209,0.816482,218,0.521078,0.523697
39,0.819584,0.816832,355,0.520471,0.523131
40,0.819954,0.817185,350,0.519864,0.522555
41,0.8202,0.817424,166,0.519469,0.522176
42,0.820475,0.817683,322,0.518991,0.521729
43,0.820843,0.818035,275,0.518428,0.521193
44,0.821071,0.818257,197,0.518019,0.520801
45,0.821359,0.818529,303,0.51753,0.520342
46,0.821738,0.818885,334,0.516923,0.519774
47,0.821962,0.819103,118,0.516585,0.51945
48,0.822243,0.819363,334,0.516128,0.519027
49,0.822528,0.819623,378,0.515679,0.518618
50,0.82276,0.819845,178,0.515286,0.518243
51,0.822988,0.820063,178,0.514955,0.517929
52,0.82321,0.82027,274,0.514606,0.517605
53,0.823539,0.820574,322,0.514135,0.517169
54,0.823712,0.820749,115,0.513893,0.51693
