,hist_dw,hist_lg
0,729,729
1,709,709
2,724,724
3,736,736
4,727,727
5,682,682
6,656,656
7,685,685
8,658,658
9,652,652
10,617,617
11,623,623
12,599,599
13,603,603
14,631,631
15,540,540
16,628,628
17,532,532
18,509,509
19,546,546
20,521,521
21,498,498
22,570,570
23,522,522
24,396,396
25,394,394
26,519,519
27,371,371
28,372,372
29,386,386
30,432,432
31,384,384
32,308,308
33,379,379
34,286,286
35,276,276
36,575,575
37,251,251
38,580,580
39,322,322
40,448,448
41,333,333
42,171,171
43,152,152
44,308,308
45,261,261
46,344,344
47,562,562
48,153,153
49,129,129
