,hist_dw,hist_lg
0,0.665951,0.665951
1,0.641912,0.641912
2,0.621436,0.621436
3,0.603383,0.603383
4,0.587272,0.587272
5,0.572449,0.572449
6,0.558349,0.558349
7,0.542877,0.542877
8,0.532865,0.532865
9,0.524317,0.524317
10,0.511336,0.511336
11,0.502011,0.502011
12,0.491456,0.491456
13,0.484063,0.484063
14,0.475004,0.475004
15,0.470009,0.470009
16,0.461546,0.461546
17,0.455122,0.455122
18,0.448147,0.448147
19,0.442096,0.442096
20,0.438907,0.438907
21,0.433832,0.433832
22,0.430789,0.430789
23,0.426628,0.426628
24,0.420977,0.420977
25,0.417108,0.417108
26,0.412882,0.412882
27,0.409673,0.409673
28,0.406026,0.406026
29,0.401178,0.401178
30,0.398936,0.398936
31,0.394653,0.394653
32,0.391685,0.391685
33,0.388934,0.388934
34,0.387164,0.387164
35,0.38499,0.38499
36,0.383473,0.383473
37,0.381112,0.381112
38,0.379847,0.379847
39,0.378224,0.378224
40,0.376034,0.376034
41,0.372987,0.372987
42,0.370271,0.370271
43,0.367354,0.367354
44,0.363686,0.363686
45,0.362289,0.362289
46,0.360177,0.360177
47,0.357957,0.357957
48,0.355493,0.355493
49,0.352693,0.352693
