,hist_dw,hist_lg
f3,0.21895387602688993,0.21895387602688993
f12,0.08124423590749812,0.08124423590749812
f1,0.07235498548505763,0.07235498548505763
f5,0.06292494294710432,0.06292494294710432
f9,0.061965079806780406,0.061965079806780406
f28,0.05831643347527274,0.05831643347527274
f15,0.05349261189282021,0.05349261189282021
f7,0.05219152138478585,0.05219152138478585
f6,0.05131503166892934,0.05131503166892934
f31,0.049069068555431694,0.049069068555431694
f19,0.04677988907409489,0.04677988907409489
f14,0.04031594972000503,0.04031594972000503
f21,0.03928363043388939,0.03928363043388939
f29,0.03786138128958516,0.03786138128958516
f17,0.03174642873609687,0.03174642873609687
f24,0.03040052109612789,0.03040052109612789
f30,0.002668103794058746,0.002668103794058746
f0,0.00188401763870147,0.00188401763870147
f22,0.0013704784452562818,0.0013704784452562818
f18,0.0013550283340029853,0.0013550283340029853
f26,0.001154510206551333,0.001154510206551333
f11,0.000969660860935039,0.000969660860935039
f20,0.0007699762542903045,0.0007699762542903045
f23,0.0007548883196839219,0.0007548883196839219
f10,0.0005228799506359707,0.0005228799506359707
f8,0.0003046875916297397,0.0003046875916297397
f13,3.01811038844996e-05,3.01811038844996e-05
f25,0.0,0.0
f27,0.0,0.0
f4,0.0,0.0
f2,0.0,0.0
f16,0.0,0.0
