n_train,num_leaves,max_depth,hist_dw,hist_lg
10000,256,10,48.55309278716588,49.052673346023
10000,256,15,53.668008399565124,53.98507413727685
10000,256,20,54.02583336939337,54.53006025016763
10000,1024,10,50.84992132404855,50.84992132404855
10000,1024,15,60.4519403977146,60.4519403977146
10000,1024,20,62.44983302649236,62.44983302649236
10000,4096,15,60.4519403977146,60.4519403977146
10000,4096,20,62.44983302649236,62.44983302649236
100000,256,10,64.49741526957499,64.10704444493776
100000,256,15,65.54341910297526,64.70175837761253
100000,256,20,65.54341910297526,63.65838042041007
100000,1024,10,84.16092912277144,84.16092912277144
100000,1024,15,114.55707611938524,118.27907973723268
100000,1024,20,118.1578987049328,123.48226805218064
100000,4096,15,141.88390780522738,141.88390780522738
100000,4096,20,170.543247784937,170.1672391860517
1000000,256,10,68.61436481011933,64.22165882103049
1000000,256,15,68.61436481011933,59.31448716209564
1000000,256,20,68.61436481011933,57.16314463823445
1000000,1024,10,117.32813319384171,117.32813319384171
1000000,1024,15,133.341802683584,128.98966418520473
1000000,1024,20,133.341802683584,124.02095297636235
1000000,4096,15,246.63467753619565,259.54750321427684
1000000,4096,20,252.46765057072707,262.1191278825669
2000000,256,10,71.94310378532832,65.59065736894405
2000000,256,15,71.94310378532832,58.325200355784325
2000000,256,20,71.94310378532832,57.00837702161867
2000000,1024,10,125.4957092573691,125.4957092573691
2000000,1024,15,138.4578148337037,127.4765369901623
2000000,1024,20,138.4578148337037,122.22400245387387
2000000,4096,15,258.45305023733226,271.6536397907319
2000000,4096,20,258.49742403376354,265.9861674958486
4000000,256,10,68.41969714710748,62.98618840831453
4000000,256,15,68.41969714710748,57.179446618144446
4000000,256,20,68.41969714710748,55.07430271009669
4000000,1024,10,129.3874905566906,129.3874905566906
4000000,1024,15,139.7436408995257,123.13632556475692
4000000,1024,20,139.7436408995257,118.48552309029525
4000000,4096,15,267.1398068939894,266.9598352474109
4000000,4096,20,268.6760601983478,254.04962486279925
