n_train,max_depth,CPU,GPU,hist_256,hist_1024
10000,5,93.00913064300005,93.07814709799999,93.16874815519998,94.6528451052
10000,15,1044.92164417701,1045.84007550956,1066.2748325875298,1056.14802807465
100000,5,107.58259715299998,108.45120489799999,105.33600735280001,106.71837359799997
100000,15,5384.456021859391,5369.285871675455,5486.579991279549,5521.258760040451
1000000,5,108.38310537999996,109.86133256800001,109.0226768952,107.02879181979996
1000000,15,21782.899676878715,22101.113079120914,22675.45044868291,22448.202957255296
2000000,5,116.32161170300002,116.17508215110003,112.42440750149999,118.20005813150003
2000000,15,22207.673957937706,22915.972821919382,22371.603384131307,22370.240329600823
4000000,5,101.59113782109998,108.16153930742001,101.6151867166,100.52924643831
4000000,15,37074.20550485503,36807.69383496082,37554.53350770064,37091.05608077737
