,CPU,GPU,hist_256,hist_1024
0,0.63189,0.631609,0.631886,0.631799
1,0.580051,0.580096,0.580156,0.579792
2,0.535583,0.535796,0.537046,0.535397
3,0.497107,0.497583,0.498409,0.497385
4,0.463272,0.464035,0.46484,0.463737
5,0.433211,0.434694,0.435515,0.4344
6,0.407314,0.409134,0.409441,0.408265
7,0.384357,0.385989,0.386487,0.385413
8,0.363684,0.365433,0.366296,0.364813
9,0.345243,0.347008,0.347769,0.346506
10,0.328622,0.330432,0.331406,0.33029
11,0.31343,0.315791,0.316591,0.315602
12,0.300069,0.302095,0.302949,0.301959
13,0.287728,0.289748,0.290393,0.289289
14,0.276365,0.278584,0.279113,0.277836
15,0.266083,0.267804,0.268518,0.267264
16,0.256504,0.258389,0.259277,0.257741
17,0.248163,0.249589,0.250929,0.249251
18,0.240617,0.241768,0.242724,0.241147
19,0.233689,0.234868,0.235883,0.23332
20,0.227094,0.228335,0.22957,0.22665
21,0.22074,0.222045,0.223077,0.220634
22,0.215006,0.216274,0.217233,0.214854
23,0.209851,0.211542,0.211823,0.209593
24,0.204472,0.20627,0.206695,0.20428
25,0.199592,0.201447,0.201486,0.199117
26,0.195581,0.196489,0.197027,0.194811
27,0.191108,0.192156,0.193474,0.190905
28,0.186935,0.188048,0.189305,0.186974
29,0.183012,0.184393,0.186004,0.183
30,0.17908,0.18132,0.182638,0.179979
31,0.175691,0.178216,0.17939,0.176827
32,0.172979,0.174977,0.175303,0.173314
33,0.170273,0.171935,0.172464,0.170735
34,0.167625,0.169304,0.170097,0.168565
35,0.165409,0.166384,0.167851,0.166343
36,0.163507,0.164096,0.166221,0.164019
37,0.160919,0.162283,0.163553,0.162006
38,0.159041,0.160078,0.161725,0.160127
39,0.157484,0.158265,0.160335,0.158354
40,0.156316,0.156582,0.158732,0.157058
41,0.154919,0.154799,0.157169,0.155552
42,0.153589,0.153424,0.155828,0.154336
43,0.152379,0.152017,0.154915,0.152341
44,0.151034,0.151069,0.153546,0.151564
45,0.149771,0.150265,0.151959,0.150273
46,0.148832,0.149698,0.150828,0.149164
47,0.147469,0.148643,0.149708,0.146879
48,0.146372,0.146789,0.148375,0.145493
49,0.145948,0.145254,0.146357,0.143526
