,leaf_cnt_0,leaf_cnt_1,leaf_cnt_2,valid_loss
0,91,84,84,1.079446
1,90,91,85,1.061181
2,85,89,89,1.044008
3,89,85,87,1.028338
4,89,85,88,1.011982
5,85,87,87,0.997101
6,86,86,85,0.982535
7,84,87,87,0.967781
8,86,89,90,0.953584
9,86,89,87,0.939792
10,87,85,87,0.927181
11,88,87,84,0.914682
12,83,86,84,0.902332
13,81,84,83,0.891437
14,89,84,82,0.879634
15,83,84,86,0.868122
16,87,82,84,0.858325
17,83,82,83,0.84761
18,84,80,79,0.837021
19,82,83,82,0.827563
20,81,83,82,0.818429
21,87,78,83,0.808344
22,81,80,78,0.79948
23,81,79,82,0.789759
24,79,80,81,0.780815
25,78,78,80,0.772584
26,79,76,79,0.764257
27,77,78,81,0.755383
28,80,74,78,0.748081
29,77,74,78,0.740586
30,77,74,75,0.733273
31,78,77,77,0.725786
32,73,77,74,0.719208
33,75,72,76,0.711973
34,79,73,74,0.704709
35,79,76,76,0.697804
36,76,70,74,0.690874
37,71,71,72,0.684773
38,74,71,75,0.678514
39,70,68,69,0.672163
40,72,71,71,0.665866
41,74,73,70,0.659243
42,71,68,69,0.653441
43,70,70,69,0.647337
44,66,67,69,0.641902
45,70,63,68,0.636318
46,69,68,68,0.630907
47,68,66,69,0.625744
48,68,66,67,0.620375
49,69,68,67,0.615069
50,70,65,67,0.610137
51,67,68,63,0.605277
52,65,64,65,0.600515
53,69,63,67,0.595794
54,65,65,65,0.591426
55,68,60,65,0.587003
56,65,63,66,0.582739
57,61,62,64,0.578627
58,63,64,62,0.574205
59,64,64,65,0.569954
60,62,62,57,0.565837
61,62,61,66,0.561573
62,62,62,61,0.557548
63,60,61,60,0.553485
64,61,60,58,0.549668
65,62,58,61,0.54617
66,59,57,61,0.542233
67,59,58,56,0.538642
68,62,57,57,0.53487
69,55,57,58,0.53154
70,58,59,59,0.528111
71,59,58,62,0.524648
72,58,57,59,0.521426
73,58,59,61,0.517976
74,56,55,56,0.514672
75,59,55,58,0.511047
76,55,58,57,0.507881
77,55,54,58,0.504958
78,55,51,56,0.501772
79,55,57,54,0.498723
80,54,48,54,0.495796
81,53,51,54,0.492993
82,55,53,53,0.490144
83,52,52,55,0.487424
84,54,52,53,0.484677
85,55,51,52,0.481794
86,54,54,52,0.479138
87,51,55,54,0.47671
88,53,52,50,0.473869
89,49,50,55,0.47136
90,51,52,53,0.46856
91,50,51,51,0.465959
92,50,47,51,0.463429
93,51,51,51,0.461037
94,52,48,48,0.458644
95,53,50,50,0.456232
96,49,49,49,0.453941
97,48,47,50,0.451672
98,51,48,50,0.449139
99,51,49,49,0.446756
100,47,46,49,0.444426
101,49,48,49,0.442266
102,46,48,50,0.440133
103,49,48,47,0.437695
104,47,48,47,0.435478
105,46,48,47,0.433325
106,49,48,44,0.431167
107,46,49,45,0.429139
108,49,47,47,0.427024
109,46,44,46,0.425197
110,48,44,46,0.423198
111,45,45,45,0.421472
112,47,44,45,0.419565
113,46,42,43,0.417391
114,42,45,45,0.415403
115,47,45,42,0.41348
116,43,44,45,0.41135
117,43,43,42,0.409652
118,44,44,43,0.407965
119,43,42,43,0.406192
120,45,42,43,0.404188
121,44,42,41,0.402606
122,39,41,43,0.401191
123,47,40,41,0.399598
124,46,43,43,0.397866
125,41,43,42,0.395961
126,42,40,38,0.394331
127,42,40,43,0.392697
128,41,44,42,0.391031
129,40,41,41,0.389689
130,41,40,41,0.38815
131,42,40,41,0.386455
132,40,39,40,0.385075
133,41,40,42,0.383215
134,39,41,40,0.381749
135,40,40,38,0.380319
136,40,41,43,0.37889
137,40,40,38,0.377648
138,38,39,39,0.376083
139,41,41,40,0.374543
140,40,38,40,0.373042
141,41,38,36,0.371578
142,40,38,37,0.370269
143,36,36,38,0.36889
144,38,34,37,0.367482
145,39,39,38,0.366087
146,42,38,36,0.364695
147,39,37,38,0.363264
148,39,34,36,0.361913
149,40,38,37,0.360552
150,38,35,37,0.359364
151,37,37,39,0.357968
152,37,35,34,0.356837
153,39,35,34,0.355482
154,37,36,37,0.354362
155,37,36,36,0.353166
156,36,35,35,0.351795
157,37,36,35,0.350558
158,38,35,37,0.349117
159,34,35,36,0.347797
160,36,35,35,0.346734
161,35,34,35,0.3455
162,36,35,37,0.344449
163,33,34,36,0.343325
164,35,36,35,0.342024
165,33,34,37,0.341005
166,35,33,34,0.339841
167,36,35,36,0.338753
168,32,32,33,0.337722
169,34,31,32,0.336684
170,35,35,33,0.335443
171,33,32,33,0.334459
172,32,33,33,0.333261
173,33,33,32,0.332024
174,33,34,31,0.331131
175,33,33,34,0.330078
176,36,33,35,0.329061
177,35,30,32,0.328008
178,32,31,32,0.327027
179,32,33,35,0.326079
180,32,31,30,0.325273
181,34,29,32,0.32442
182,32,33,31,0.323323
183,32,31,33,0.322409
184,35,29,31,0.321312
185,34,29,33,0.320374
186,32,31,31,0.319311
187,32,29,30,0.318316
188,33,31,33,0.317291
189,31,29,29,0.31642
190,29,31,30,0.315495
191,30,28,30,0.31472
192,30,31,30,0.31369
193,31,32,32,0.312799
194,29,31,29,0.311914
195,30,29,31,0.311036
196,31,33,30,0.310248
197,31,29,28,0.309306
198,31,30,30,0.308507
199,29,30,30,0.307652
200,31,30,30,0.306769
201,29,30,27,0.305872
202,29,31,28,0.305092
203,30,29,28,0.304266
204,30,29,30,0.303433
205,30,28,26,0.302659
206,32,29,28,0.301871
207,30,27,29,0.301147
208,31,27,28,0.300188
209,31,28,28,0.299404
210,28,27,30,0.298754
211,27,26,27,0.298088
212,28,28,28,0.297294
213,29,28,29,0.296476
214,30,27,28,0.295548
215,31,29,28,0.294821
216,30,26,26,0.294099
217,29,28,30,0.293425
218,26,27,28,0.292515
219,28,28,28,0.291983
220,28,28,28,0.291342
221,28,26,27,0.290574
222,27,26,28,0.289837
223,26,29,26,0.289189
224,26,27,27,0.288597
225,26,27,27,0.287832
226,27,26,27,0.287005
227,28,25,25,0.286576
228,28,25,26,0.285969
229,26,26,27,0.28524
230,27,27,27,0.284646
231,25,26,27,0.284096
232,26,26,25,0.283462
233,27,26,26,0.282766
234,26,27,25,0.282134
235,26,25,24,0.281531
236,28,27,26,0.28091
237,26,25,26,0.280416
238,24,25,28,0.279742
239,27,23,24,0.279059
240,26,24,24,0.278355
241,26,25,27,0.277793
242,27,26,27,0.277166
243,26,25,25,0.276661
244,25,26,25,0.275897
245,25,24,26,0.275506
246,24,26,24,0.274868
247,23,24,23,0.274329
248,25,24,26,0.273675
249,25,27,23,0.273082
250,27,24,24,0.272649
251,25,22,24,0.272079
252,24,24,24,0.27177
253,23,26,25,0.271269
254,25,25,24,0.27068
255,25,23,25,0.270125
256,25,26,26,0.26948
257,25,22,25,0.269055
258,24,24,24,0.26856
259,23,22,23,0.267944
260,24,24,24,0.267396
261,26,23,25,0.26678
262,23,24,23,0.266225
263,24,24,25,0.265641
264,23,22,23,0.265107
265,23,23,21,0.26463
266,24,23,23,0.26414
267,23,24,24,0.263717
268,23,23,21,0.263298
269,22,22,23,0.262906
270,23,22,23,0.262379
271,23,23,24,0.261875
272,22,25,22,0.261333
273,23,22,22,0.260839
274,23,21,22,0.260486
275,22,21,23,0.25999
276,23,24,24,0.259419
277,22,23,22,0.258893
278,24,21,22,0.258465
279,22,22,22,0.257922
280,23,22,23,0.257482
281,22,22,24,0.257024
282,23,20,21,0.256469
283,24,23,21,0.255992
284,21,20,21,0.255554
285,24,20,22,0.255153
286,24,20,21,0.254778
287,22,21,21,0.25429
288,22,22,20,0.253936
289,24,23,22,0.253523
290,23,22,19,0.253054
291,20,20,22,0.252485
292,22,20,22,0.251974
293,23,19,23,0.251539
294,22,22,22,0.251131
295,20,20,21,0.250673
296,22,22,22,0.250263
297,22,23,19,0.249766
298,21,22,21,0.249211
299,21,21,24,0.248894
300,22,21,21,0.248462
301,21,21,21,0.248078
302,22,20,21,0.247589
303,22,21,22,0.247155
304,23,21,21,0.246746
305,18,21,20,0.246241
306,21,19,20,0.245776
307,20,20,20,0.245503
308,22,22,21,0.245035
309,21,21,21,0.244724
310,22,20,20,0.244259
311,20,18,20,0.243874
312,21,19,21,0.243457
313,20,20,21,0.243187
314,19,20,19,0.24282
315,19,19,22,0.242337
316,20,18,19,0.242043
317,21,21,20,0.241623
318,21,19,19,0.241223
319,21,19,18,0.240828
320,22,17,21,0.240462
321,18,19,20,0.240215
322,19,20,21,0.239825
323,18,19,21,0.23951
324,19,19,20,0.239226
325,20,20,19,0.238789
326,20,19,19,0.238356
327,19,18,20,0.237962
328,20,21,21,0.237608
329,19,20,20,0.237285
330,19,18,19,0.236975
331,20,20,17,0.236678
332,19,20,18,0.236316
333,20,19,19,0.235931
334,19,19,20,0.235609
335,20,19,18,0.235216
336,20,20,18,0.234793
337,21,19,20,0.234459
338,20,19,20,0.234201
339,19,20,17,0.233899
340,21,19,20,0.233516
341,19,19,20,0.233238
342,19,19,19,0.232907
343,19,19,18,0.232509
344,20,17,18,0.232171
345,19,17,19,0.231736
346,17,19,19,0.231371
347,18,17,17,0.231082
348,17,19,17,0.230833
349,18,18,18,0.230457
350,17,19,18,0.230214
351,19,17,18,0.22988
352,19,17,18,0.229581
353,16,19,18,0.229347
354,18,18,19,0.228994
355,18,19,18,0.22865
356,17,18,19,0.228342
357,18,17,18,0.228147
358,19,18,18,0.227881
359,17,18,18,0.227476
360,19,18,18,0.227183
361,19,18,18,0.226865
362,18,17,18,0.226602
363,19,18,18,0.226282
364,20,18,17,0.225953
365,18,18,18,0.225833
366,18,18,16,0.225511
367,18,19,18,0.225242
368,18,15,17,0.224899
369,19,19,19,0.22457
370,19,18,17,0.224128
371,18,18,17,0.223838
372,19,16,17,0.223709
373,17,16,16,0.223459
374,18,16,16,0.223171
375,17,18,17,0.222887
376,17,18,19,0.222625
377,18,17,17,0.222233
378,18,17,17,0.221923
379,18,15,16,0.221657
380,18,16,17,0.221372
381,17,17,17,0.221213
382,19,16,17,0.220963
383,15,16,16,0.220709
384,17,16,17,0.220454
385,17,17,17,0.220157
386,16,16,17,0.219904
387,17,17,16,0.219601
388,16,15,17,0.219369
389,18,18,16,0.219043
390,16,18,16,0.218791
391,18,16,17,0.218591
392,16,17,16,0.218358
393,16,17,17,0.218017
394,16,18,16,0.217777
395,17,16,16,0.217608
396,17,16,15,0.217417
397,16,16,15,0.2172
398,16,16,15,0.217046
399,16,16,16,0.216791
400,17,16,17,0.216613
401,17,14,17,0.21632
402,16,17,18,0.216094
403,15,16,15,0.215809
404,18,16,16,0.21549
405,17,16,15,0.215276
406,16,16,16,0.215001
407,16,15,16,0.214804
408,16,15,15,0.214565
409,16,16,16,0.214308
410,15,16,17,0.214049
411,17,15,16,0.213873
412,16,16,16,0.213563
413,15,16,17,0.213272
414,15,13,17,0.213044
415,18,17,15,0.212747
416,16,16,15,0.212597
417,15,15,17,0.212335
418,15,16,16,0.212065
419,16,17,14,0.211839
420,16,15,15,0.211627
421,17,15,17,0.211396
422,15,16,16,0.211159
423,15,17,16,0.210889
424,17,15,15,0.210704
425,15,15,16,0.210495
426,14,15,15,0.210264
427,15,15,15,0.209987
428,15,15,16,0.209764
429,16,16,15,0.209546
430,16,13,15,0.209344
431,15,14,16,0.209088
432,14,14,16,0.208899
433,14,16,15,0.208779
434,15,13,14,0.20858
435,17,14,14,0.208387
436,16,14,15,0.208212
437,15,15,14,0.207909
438,15,16,17,0.207649
439,15,15,14,0.207493
440,16,16,15,0.207272
441,15,15,14,0.20712
442,15,15,15,0.206861
443,16,16,16,0.206576
444,15,14,15,0.206361
445,15,15,14,0.206161
446,16,15,15,0.205941
447,14,15,16,0.205765
448,14,16,14,0.205491
449,16,16,15,0.205234
450,16,15,14,0.204963
451,16,16,15,0.204792
452,14,15,14,0.204667
453,15,15,15,0.204474
454,14,13,14,0.204211
455,15,14,15,0.204044
456,15,13,15,0.203883
457,14,15,15,0.203681
458,15,14,14,0.203463
459,14,15,13,0.203271
460,15,14,14,0.203107
461,15,14,15,0.202904
462,13,16,15,0.202758
463,15,14,14,0.202643
464,15,14,14,0.202379
465,14,13,15,0.202148
466,14,13,15,0.202007
467,15,13,15,0.201782
468,14,14,14,0.20154
469,15,13,13,0.201383
470,14,13,15,0.201162
471,15,16,14,0.200906
472,13,13,13,0.200736
473,14,16,13,0.200451
474,14,16,15,0.20023
475,14,14,14,0.20004
476,14,13,14,0.199821
477,14,15,13,0.199609
478,13,13,14,0.19944
479,13,13,15,0.199244
480,14,14,13,0.199068
481,14,14,14,0.198822
482,13,13,15,0.198621
483,13,14,13,0.198508
484,14,12,14,0.198334
485,14,14,13,0.198213
486,13,15,14,0.198096
487,14,15,13,0.197892
488,14,13,13,0.197727
489,13,14,13,0.197557
490,13,13,14,0.197395
491,14,14,14,0.197272
492,13,13,14,0.197075
493,13,14,13,0.196916
494,14,13,14,0.19674
495,14,14,13,0.1966
496,13,13,14,0.196411
497,13,14,14,0.196228
498,12,13,15,0.19605
499,13,14,12,0.195948
