,EQBIN_dw,EQBIN_lg
f18,0.06800449347367844,0.058360247987513554
f19,0.06193494973640027,0.055235026563424106
f8,0.05617135623644726,0.05299264096631158
f3,0.05418270664277512,0.045374069996714304
f9,0.05398184769844288,0.05063664824060161
f24,0.05392755934748968,0.048160558296130786
f13,0.05257418136124069,0.05058713581458843
f21,0.052573382550347415,0.04174872454984386
f4,0.051121748445697765,0.04761656763145823
f16,0.049984266510621336,0.06177755390452815
f15,0.04896751982978515,0.0466881066416319
f29,0.04550049403684764,0.03831317396810121
f30,0.04533380554941303,0.04610128868051253
f22,0.045065949681902855,0.04408283361357961
f6,0.04159450621191007,0.04244415770801132
f27,0.0380963883535223,0.03728677329984632
f10,0.014155984856059168,0.01503038338889238
f7,0.013034377863174481,0.015405118918444274
f31,0.012228461503975994,0.014778381443608303
f17,0.012029530742317624,0.015836041296390192
f25,0.011848908606301974,0.01685797568278746
f0,0.011826608661249046,0.013637628130231184
f23,0.01173350947180074,0.01451716028400726
f26,0.011640777148550658,0.013889049948133152
f11,0.011438551643939832,0.01454130373464437
f1,0.011041386788211451,0.01479552094106517
f28,0.010782906895567058,0.014116239688665532
f12,0.0106070953434813,0.016006546627250266
f14,0.010577120739595684,0.013013248853028382
f5,0.010405379635411388,0.0137817705074588
f20,0.009124305522098546,0.013499777629916054
f2,0.008509938911743413,0.012888345062679784
