,hist_dw,hist_lg
0,697,697
1,592,592
2,626,626
3,629,629
4,642,642
5,648,648
6,641,641
7,645,645
8,634,634
9,632,632
10,637,637
11,618,618
12,604,604
13,603,603
14,575,575
15,541,541
16,561,561
17,497,497
18,511,511
19,521,521
20,431,431
21,494,494
22,478,478
23,451,451
24,438,438
25,436,436
26,426,426
27,421,421
28,396,396
29,397,397
30,372,372
31,358,358
32,357,357
33,365,365
34,360,360
35,344,344
36,327,327
37,330,330
38,324,324
39,307,307
40,323,323
41,297,297
42,294,294
43,290,290
44,255,255
45,253,253
46,240,240
47,252,252
48,265,265
49,259,259
