,hist_dw,hist_lg
f23,0.11777419319271981,0.11336029402005932
f2,0.1001468785932269,0.09205658153304715
f10,0.0924393725862719,0.0887354852559547
f3,0.08446723820944751,0.08421467831359497
f5,0.07664670367008837,0.08235541216572365
f25,0.07084383899761662,0.0716171294505206
f12,0.06268072751595055,0.06472364283591453
f16,0.05449176909730186,0.0543780346736682
f21,0.04929474042604337,0.04841374408539566
f6,0.048672589596873,0.04531063274530377
f26,0.043160069965819926,0.04394066353164237
f11,0.042880564119363127,0.04315765574961254
f7,0.042019945209383916,0.036044097201095186
f28,0.03941399267975645,0.04366692729052065
f15,0.03842808203533735,0.03937580190147478
f13,0.02677002420531808,0.03317438158441248
f18,0.0007476611133744768,0.0
f8,0.0007013625043790151,0.0
f0,0.0006979980269859235,0.0
f30,0.0006802932315282844,0.0010675059214141393
f9,0.0006637570391920658,0.0015016456755791198
f29,0.0006564295307704819,0.001064236429058487
f1,0.0006540914804739027,0.0012763867517160557
f4,0.0006280664229339306,0.0
f19,0.0006276500066679013,0.001334437584023608
f24,0.0005893354462119475,0.0011755406159128176
f14,0.0005602476599594917,0.0012104797680331139
f22,0.0005484384592008752,0.0013490795762429696
f20,0.0005374446359610667,0.0010325433449892834
f31,0.0005327287214219155,0.0012015325846261192
f27,0.0005231567751047425,0.001945112807632794
f17,0.0005206088453152233,0.0013163366028309386
