,hist_dw,hist_lg
0,0.672548,0.65932
1,0.649539,0.628738
2,0.633757,0.60323
3,0.616654,0.580523
4,0.603895,0.560288
5,0.590835,0.543178
6,0.579189,0.526525
7,0.56649,0.510572
8,0.559186,0.498848
9,0.548472,0.488711
10,0.537948,0.476641
11,0.531532,0.467414
12,0.525468,0.456845
13,0.520001,0.447395
14,0.508741,0.438793
15,0.503563,0.430561
16,0.49915,0.423817
17,0.493589,0.417909
18,0.484802,0.41151
19,0.481177,0.405144
20,0.474891,0.399073
21,0.469329,0.393754
22,0.467317,0.387689
23,0.46135,0.38216
24,0.457323,0.377694
25,0.45492,0.373713
26,0.450872,0.369275
27,0.445618,0.363632
28,0.444093,0.359161
29,0.439176,0.354948
30,0.431388,0.35001
31,0.428577,0.345305
32,0.426698,0.340834
33,0.42429,0.336862
34,0.419627,0.332972
35,0.415135,0.330149
36,0.41334,0.326142
37,0.411258,0.323224
38,0.407503,0.320861
39,0.402595,0.317742
40,0.400955,0.315615
41,0.396304,0.312812
42,0.394709,0.309817
43,0.392891,0.307139
44,0.389081,0.304646
45,0.387858,0.302048
46,0.386663,0.300485
47,0.38249,0.298803
48,0.381809,0.296546
49,0.380058,0.294395
