,CPU,GPU,hist_256,hist_1024
f23,0.14709404571804177,0.15285602186815284,0.16129791640640181,0.1505430113016131
f7,0.09510773085682278,0.10043155801327884,0.09862365209227533,0.09608473127342737
f26,0.07125796137041657,0.07003378723877507,0.08589650265963468,0.07547044179424121
f21,0.06790031115145866,0.0688087134824196,0.06496152736978775,0.07289614974260233
f20,0.06179366117506374,0.06079593331138704,0.051116240127263075,0.06283566046972115
f31,0.060474339919040936,0.06208001514644766,0.05531972396870252,0.05818405146291893
f12,0.059514992352334026,0.05878456039472177,0.04910727774218732,0.055763430669946025
f4,0.05847754725275915,0.05239216766263502,0.04949847251254501,0.05785857388895106
f19,0.05741058612499694,0.05451680716614874,0.062075712472444186,0.05739479092501802
f24,0.05564219098985753,0.05580851128009311,0.06172180308505702,0.055680905464130154
f9,0.053469571048967234,0.0545931494350121,0.05779154526018944,0.054645767294004444
f16,0.051538092009278766,0.05348538343240206,0.045192152515865315,0.046845348722883
f10,0.04688702337211714,0.04221304371880678,0.05251379082331532,0.04625392734245863
f0,0.04267993958416125,0.043156130613427476,0.03466745601715706,0.04003200588581091
f17,0.03814619430901932,0.03887559519786787,0.03568787766943997,0.03626135611895952
f25,0.03260581276566408,0.03116862203842417,0.03452834927773413,0.03324984764331429
f5,0.0,0.0,0.0,0.0
f30,0.0,0.0,0.0,0.0
f29,0.0,0.0,0.0,0.0
f28,0.0,0.0,0.0,0.0
f27,0.0,0.0,0.0,0.0
f2,0.0,0.0,0.0,0.0
f3,0.0,0.0,0.0,0.0
f11,0.0,0.0,0.0,0.0
f13,0.0,0.0,0.0,0.0
f6,0.0,0.0,0.0,0.0
f8,0.0,0.0,0.0,0.0
f18,0.0,0.0,0.0,0.0
f1,0.0,0.0,0.0,0.0
f15,0.0,0.0,0.0,0.0
f14,0.0,0.0,0.0,0.0
f22,0.0,0.0,0.0,0.0
