n_train,max_depth,CPU,GPU,hist_256,hist_1024
10000,5,20.67265204076536,20.62933145692766,20.560696278742743,20.829866362416112
10000,15,60.05378118186741,59.957023271996135,60.4519403977146,60.131487234684684
100000,5,22.502827751893264,22.762950437744472,22.143906333660016,22.43714862194065
100000,15,140.2576143320466,139.67933281540516,141.88390780522738,142.2934285335838
1000000,5,22.485875697778514,22.67052155537729,22.74142936658463,22.30291392310517
1000000,15,301.70528592648435,305.1983056047251,308.78708240477386,308.1967837325285
2000000,5,23.691305530564073,23.740758682701316,23.043966285649198,23.988241552975275
2000000,15,317.53838403678594,325.4828675649631,317.7916425733631,319.12394849809004
4000000,5,21.129506883075237,27.73981560465634,21.177495429702333,20.788761072906194
4000000,15,410.24575649947474,414.9379314741208,412.18198181828006,410.56786053204826
