,hist_dw,hist_lg
f25,0.20487576616922543,0.1548040979059138
f19,0.07032881460826655,0.07055931469704364
f17,0.0577489371762134,0.05773376265125152
f1,0.05384938388277541,0.05148630349354807
f13,0.052891508077499136,0.05670997119588285
f14,0.05142574122648562,0.04698829218612614
f10,0.04900818031968794,0.04949854722804231
f0,0.048332467685010004,0.04015511251563488
f21,0.04070384992370916,0.042042265182124464
f15,0.037817185408152466,0.04472132589883607
f31,0.03730292938433966,0.03898903472590577
f23,0.03686514389241532,0.04098374182787382
f4,0.03646554805771779,0.02929141133990189
f12,0.035860251738832734,0.03863432421104005
f11,0.03498137591918341,0.03439106941568326
f28,0.03312186844377836,0.03607507812886384
f5,0.014963918140782469,0.010287387416681476
f27,0.011349028589222201,0.012957177357882106
f18,0.010197893222330482,0.009550135057956467
f7,0.009033636364645924,0.009745890219498746
f30,0.007904826990054787,0.011084217406142433
f26,0.007659363712482284,0.009966012639944084
f6,0.0074920763565554565,0.00900458083979218
f29,0.007427937462483697,0.009971459017488141
f20,0.007255187445051759,0.011232874280370038
f8,0.006644935897780237,0.01126441888629286
f9,0.006158447565051578,0.009235907147775413
f16,0.005356352881508931,0.008245380452981408
f3,0.0050512523504928596,0.01076301526290697
f2,0.0047847126422600195,0.01163377312093531
f22,0.0036308138321723116,0.010117789840209898
f24,0.0035106646338328,0.011876328449470145
