,EQBIN_dw,EQBIN_lg
0,2.7946809999999997,2.95777877
1,2.5337082,2.8358402999999996
2,2.63654441,2.65396455
3,2.4734032,2.63632061
4,2.5561939,2.543137858
5,2.42246594,2.6944814
6,2.50197834,2.30265019
7,2.5878547999999997,2.5345464
8,2.5336812559999995,2.52344593
9,2.28791573,2.56698591
10,2.40715656,2.14384131
11,2.36098533,2.34285431
12,2.188753077,2.25001264
13,2.0266212599999998,2.058501
14,1.9893769300000002,2.30642009
15,1.9114478229999998,2.313184885
16,2.24885897,2.04116285
17,2.1605056100000004,1.9955621600000002
18,2.2347135599999994,2.08269593
19,2.20348303,1.85165959
20,2.03686399,1.9749679032999998
21,2.293515037,2.0415619449999998
22,2.01328224,2.47492028
23,1.8442059,2.0599854379
24,2.148049276,2.15309703
25,2.08234296,2.1311753199999997
26,2.1695882199999996,2.10087548
27,1.91244718,1.8943921400000001
28,2.2568652499999997,2.03549509
29,2.0158571,2.1876108
30,2.17374704,2.31959845
31,1.8440923799999998,2.0042000900000003
32,1.7945055,2.29959582
33,2.10250797,1.97514822
34,1.9021069700000002,2.00889166
35,2.20705683,1.9770156289999998
36,1.7913788300000002,1.911900331
37,1.8939552600000003,2.4009505200000003
38,1.76674459,2.10414872
39,1.778162994,1.8826114
40,2.08793769,2.174884079
41,2.10436084,2.246900191
42,1.621251613,2.15389463
43,2.1598049450000003,2.325188354
44,1.9176554499999998,1.92896893
45,1.959053808,1.8855597099999999
46,1.9589212266999998,2.0894252599999996
47,1.87123384,2.052946263
48,1.88198346,1.8410678700000003
49,1.80455959,2.27084801
