,hist_dw,hist_lg
f23,0.09891664249394162,0.09686554144461167
f2,0.08786998559088462,0.08305895372034446
f10,0.0789424393625977,0.07340112980474447
f3,0.07089710322914526,0.06838658358234857
f25,0.06785018849458975,0.05912832144287554
f12,0.06414025770817383,0.06095747240196374
f5,0.06371294373937926,0.0609889471081983
f16,0.060092879876295587,0.05593543951700573
f21,0.05163037169855339,0.04729264185903174
f6,0.049342603009974915,0.04302648278400447
f15,0.044785927167547486,0.03998279884064852
f11,0.04449874855223004,0.03992181138333696
f26,0.04057586482262122,0.03789480700616802
f28,0.0374065158595908,0.03607832982538761
f7,0.03455907775436315,0.034086027015736736
f13,0.03081343398062878,0.030205134315391804
f19,0.0047137134344441235,0.008338837525270447
f18,0.0047073355193140085,0.008303419950726884
f24,0.004688810009411333,0.00829911976528554
f31,0.004686617599605379,0.008231007346503456
f27,0.00467834017543419,0.008313739773673058
f4,0.004674826940314444,0.008414655204571827
f29,0.004655736541773825,0.008344051326213004
f14,0.004635230087479579,0.008276982527488432
f30,0.004631653304787047,0.008188365719457982
f8,0.0045999763809077745,0.008272472854324567
f22,0.0045834892132831945,0.008307330971428844
f20,0.0045814711635221005,0.00851909145854886
f17,0.004573692393260055,0.008187302904421214
f0,0.00455450586634726,0.008173481851761378
f9,0.004516722922800696,0.008343885728610154
f1,0.00448289510679765,0.008275833039916034
