,hist_dw,hist_lg
0,4096,4096
1,4096,4096
2,4096,4096
3,4096,4096
4,4096,4096
5,4096,4096
6,4096,4096
7,4096,4096
8,4096,4096
9,4096,4096
10,4096,4096
11,4096,4096
12,4096,4096
13,4096,4096
14,4013,4096
15,4078,4096
16,4096,4061
17,4058,3935
18,4053,3698
19,3764,3886
20,3534,3729
21,3690,3603
22,3521,3371
23,3439,3378
24,3473,3388
25,3541,2855
26,3290,3068
27,2891,3064
28,2575,3001
29,2978,2914
30,2304,2369
31,2940,2716
32,2621,2461
33,2476,2192
34,2295,2672
35,2356,1842
36,2226,2459
37,2482,2086
38,1910,2246
39,1935,2090
40,2175,2014
41,1598,1890
42,1872,1797
43,1661,1468
44,1845,1820
45,1807,1970
46,1523,1615
47,1711,1928
48,1977,1846
49,1605,1566
