,hist_dw,hist_lg
0,3065,3065
1,2863,2863
2,2997,2997
3,3105,3105
4,2943,2943
5,3199,3199
6,3215,3215
7,3010,3010
8,3073,3073
9,3067,3067
10,2754,2754
11,2770,2770
12,2583,2583
13,2726,2726
14,2685,2685
15,2735,2735
16,2627,2627
17,2443,2443
18,2316,2316
19,2131,2131
20,2376,2376
21,1665,1665
22,1659,1659
23,2025,2025
24,1934,1934
25,1788,1788
26,1600,1600
27,1509,1509
28,1302,1302
29,1578,1578
30,1328,1328
31,1402,1402
32,1365,1365
33,1120,1120
34,1249,1249
35,1127,1127
36,1154,1154
37,1199,1199
38,838,838
39,1271,1271
40,907,907
41,765,765
42,527,527
43,749,749
44,667,667
45,871,871
46,859,859
47,703,703
48,404,404
49,727,727
