,hist_dw,hist_lg
f3,0.17007749648323134,0.15151469610772034
f12,0.08011299238520085,0.07900943173635383
f9,0.05876598364799324,0.05995772176304144
f28,0.05783127892488341,0.04979922006024629
f7,0.0568176840862682,0.04879199748990842
f1,0.05636821636767866,0.05746302632742433
f5,0.05521653728478416,0.05089243500368821
f6,0.05236146467349358,0.046899236232555604
f15,0.051610392127432916,0.04601607794924865
f19,0.05123841824383347,0.04478156801006368
f31,0.04925579951010375,0.04378476876600464
f14,0.043552553906459485,0.04162888524912471
f24,0.04276664167466922,0.03921698566616793
f29,0.041168257031189565,0.04085680045196168
f17,0.034841722299020834,0.03380531515903191
f21,0.03167204766565587,0.03343532004406781
f25,0.00475221405956552,0.008792334176085076
f11,0.004558113393733876,0.00843461061667995
f22,0.004380552933455791,0.008654211064326312
f20,0.004337126742635961,0.00793885361866112
f0,0.004298444743919832,0.007387545347208095
f30,0.004261945465647737,0.00862996989985604
f4,0.0042043690002703206,0.00717435358352177
f10,0.004190862350872543,0.0091904412152427
f2,0.004173959063844706,0.008340845658738431
f16,0.00410812896620728,0.008479136942406958
f8,0.004092881352200153,0.00884075160860542
f13,0.004079440768774866,0.008037117687852114
f18,0.0038058903962068747,0.008232790924103854
f27,0.0037715513844170595,0.007798309966986195
f26,0.0037708727188077947,0.00788435750531422
f23,0.0035561603475411934,0.008330884167802019
