,EQBIN_dw,EQBIN_lg
0,0.674549,0.674549
1,0.658375,0.658375
2,0.644009,0.644009
3,0.633315,0.633315
4,0.621262,0.621262
5,0.612479,0.612479
6,0.601831,0.601831
7,0.592342,0.592342
8,0.584278,0.584278
9,0.575788,0.575788
10,0.567403,0.567403
11,0.560042,0.560042
12,0.554358,0.554358
13,0.548314,0.548314
14,0.541896,0.541896
15,0.536803,0.536803
16,0.531074,0.531074
17,0.525458,0.525458
18,0.52071,0.52071
19,0.51718,0.51718
20,0.510275,0.510275
21,0.50562,0.50562
22,0.501575,0.501575
23,0.499256,0.499256
24,0.496858,0.496858
25,0.493156,0.493156
26,0.489909,0.489909
27,0.487536,0.487536
28,0.486224,0.486224
29,0.483431,0.483431
30,0.477904,0.477904
31,0.475727,0.475727
32,0.474034,0.474034
33,0.472904,0.472904
34,0.47069,0.47069
35,0.469057,0.469057
36,0.463807,0.463807
37,0.462521,0.462521
38,0.459517,0.459517
39,0.456517,0.456517
40,0.45307,0.45307
41,0.449889,0.449889
42,0.445886,0.445886
43,0.44333,0.44333
44,0.441056,0.441056
45,0.437815,0.437815
46,0.436697,0.436697
47,0.434188,0.434188
48,0.432813,0.432813
49,0.429675,0.429675
