,hist_dw,hist_lg
0,7.379062785682345,7.784887644285444
1,7.001958151021549,7.349726635446272
2,6.606235721928883,6.991632308824727
3,6.440137616841146,6.671923818272737
4,6.129908073025758,6.456649747729956
5,5.955973110810493,6.206555693525035
6,5.868784937393002,6.076010419492355
7,5.6720686193582885,5.848886230133893
8,5.582784760868286,5.759035925641968
9,5.457872042784418,5.608668187431209
10,5.391629017264245,5.5400399629678985
11,5.24958746355947,5.445496262690459
12,5.1671128779366535,5.3772769851492574
13,5.148494486394463,5.251624742270515
14,5.0218206975846735,5.197885011014444
15,5.035795150339489,5.1941425818273785
16,5.025609700402039,5.142939377728148
17,5.02481870416393,5.104848027685966
18,4.932888681876575,5.0800637689609855
19,4.877577073729106,5.061730418358229
20,4.809247856411807,4.973553479511377
21,4.907211492644977,4.9621822073372766
22,4.8810281239990445,4.972265776904902
23,4.882803475379058,4.927807890135674
24,4.7947988977258404,4.878923429239954
25,4.748474264203437,4.944571669237998
26,4.697693138120517,4.91687149053285
27,4.717356764411495,4.950678167119896
28,4.642621583052678,4.873859181895225
29,4.78496658721153,4.866962163720834
30,4.638835332513788,4.9088156155287415
31,4.536308048262935,4.8359211896981735
32,4.559777341987725,4.86965887684587
33,4.8007755120530184,4.832412220291781
34,4.726555738557423,4.843457221311459
35,4.680293018011803,4.8463186751755005
36,4.496427578207271,4.62599014214303
37,4.690969177134988,4.846941271236237
38,4.613814584917561,4.882986581734297
39,4.542635460955691,4.80667731039386
40,4.5865774609658,4.716846681570225
41,4.572315108295912,4.8200264804935715
42,4.600095200754499,4.797125265670005
43,4.509838210446358,4.756998674668718
44,4.519888688013346,4.79995965434942
45,4.69067215061258,4.830213354110347
46,4.363066090646708,4.729043348619442
47,4.545726035919879,4.620934091295353
48,4.4588038856939365,4.657516343100343
49,4.497954090650718,4.673585679257671
