,CPU,GPU,hist_256,hist_1024
0,14283,13403,14256,14494
1,13561,13384,13742,13471
2,14106,13435,14165,14193
3,13610,13810,13671,13582
4,14554,14029,14508,14167
5,14302,13687,14229,14075
6,14884,14390,14527,14779
7,13609,13982,15376,14270
8,15025,13253,13727,14448
9,14502,14600,15104,15277
10,15532,14249,14286,13429
11,14246,13876,14977,15451
12,15008,14783,15128,14675
13,13445,14395,14413,14896
14,14856,14549,14558,14268
15,13680,13494,12663,13489
16,13118,13215,14514,14509
17,12083,11871,12475,13080
18,13717,13074,13222,12070
19,13674,12387,13085,13066
20,12629,11904,12063,12671
21,11911,12045,12449,12091
22,12989,11311,11237,12440
23,10817,10837,14097,11214
24,12772,12594,13105,13315
25,11405,12408,12966,12505
26,12817,10453,12516,10474
27,10514,11814,10482,10691
28,11270,10049,11052,10624
29,10042,9267,10774,10625
30,10289,9620,10134,10602
31,11459,10860,10903,9712
32,9521,10260,11840,9877
33,10463,9213,9347,8009
34,9585,7812,9032,9755
35,7942,7668,9854,9522
36,10767,10759,7530,10963
37,8486,9204,10198,9774
38,9062,7170,10910,9658
39,9788,9854,5939,5747
40,5055,4854,8619,5364
41,4566,6106,5061,6227
42,5526,4548,4966,5235
43,4570,5027,6060,6665
44,4918,4883,4393,4716
45,5965,5917,5703,6081
46,4312,4165,4833,4999
47,3737,3114,3669,4148
48,3896,6032,4305,5046
49,3991,5296,4632,3596
