,hist_dw,hist_lg
f3,0.13480083199376697,0.12840164997427075
f12,0.07873968775892322,0.07312556975780596
f9,0.0551776920784905,0.051865408795992544
f28,0.052585871761305254,0.04818033641013909
f7,0.05235683514603523,0.04708907188585077
f5,0.05232322362228197,0.04666547142902131
f6,0.051287352293682455,0.0457128776952672
f1,0.05037053767338985,0.04760566693238167
f15,0.04948130200986383,0.044552333792183686
f19,0.04711176189075121,0.043389034338932826
f31,0.04691545226553455,0.041833546293808074
f14,0.04256766439581047,0.03927414036629188
f29,0.042097850298620024,0.03875012082479792
f24,0.04008270708908676,0.03847898379771474
f17,0.03383480886742039,0.03286971926268833
f21,0.031311725312283004,0.030448521618108033
f11,0.009522733486741214,0.012457006281622152
f0,0.00898467364260399,0.012326064553467868
f13,0.008923619093776673,0.012905731760670955
f30,0.00886806344261513,0.012147893584579959
f27,0.008697036474397854,0.012772189934972932
f25,0.008664726684742358,0.013202866226071471
f23,0.008650804933592073,0.012912753721326454
f18,0.008648386126645922,0.012491791856538391
f26,0.008647784025425813,0.012490579081341876
f22,0.008630759556637483,0.012582443583060982
f4,0.00860237725992566,0.01253572941421913
f2,0.008574871302848987,0.012353430201710647
f16,0.008542732077885683,0.012697221610455885
f10,0.008494792569387538,0.013091863392296087
f20,0.00836283051671356,0.012581993706908184
f8,0.008138504348814388,0.012207987915502268
