,hist_dw,hist_lg
0,0.642796,0.637143
1,0.599938,0.589695
2,0.56112,0.548233
3,0.526326,0.511029
4,0.495551,0.478646
5,0.46846,0.449325
6,0.443038,0.423413
7,0.421248,0.399358
8,0.400846,0.3776
9,0.380955,0.356987
10,0.363377,0.338237
11,0.346977,0.320751
12,0.332978,0.304778
13,0.320123,0.289502
14,0.305675,0.274708
15,0.294336,0.261429
16,0.28197,0.249022
17,0.270894,0.237499
18,0.260499,0.226821
19,0.249745,0.216375
20,0.240364,0.206922
21,0.230942,0.197411
22,0.222377,0.188515
23,0.213902,0.180125
24,0.20657,0.172071
25,0.199546,0.164588
26,0.192222,0.157641
27,0.185608,0.151086
28,0.179873,0.144732
29,0.173622,0.138927
30,0.167994,0.133432
31,0.162416,0.128203
32,0.15745,0.12308
33,0.152591,0.118096
34,0.148017,0.113536
35,0.143153,0.109337
36,0.138444,0.105405
37,0.134199,0.101576
38,0.129708,0.098267
39,0.125483,0.094835
40,0.121387,0.091571
41,0.11778,0.088956
42,0.11457,0.086021
43,0.111117,0.082975
44,0.1077,0.080101
45,0.104319,0.077326
46,0.101403,0.075115
47,0.09832,0.072846
48,0.095464,0.070626
49,0.092579,0.06829
