,EQBIN_dw,EQBIN_lg
f25,0.1592746667023566,0.17842815368534182
f19,0.07477272118595814,0.06639172430095334
f1,0.06017088729388437,0.04647869917349135
f10,0.05373584155961999,0.04613578469099056
f13,0.05333063407032054,0.04890637693338687
f17,0.053018076188306625,0.04616115568577728
f14,0.0477590881640572,0.04030775696043951
f21,0.045104325125736686,0.04248697835967557
f15,0.044503619691170435,0.04319026959594865
f0,0.04106115105509461,0.03671946978662382
f23,0.03942633885114931,0.03907411790767537
f31,0.038971060781917845,0.03340621256764672
f12,0.03772910340544181,0.03431258143593794
f28,0.03497338990284207,0.03712631880025115
f11,0.03389342545969333,0.033110517043352564
f4,0.0309133117937085,0.03171644400284682
f27,0.011295829093983151,0.01240009461431358
f26,0.010737300478991714,0.01154635947005371
f16,0.01032827781872391,0.010271324111109993
f29,0.010248299370582437,0.013533042528844628
f24,0.01009407053486864,0.011396970891148219
f30,0.010045762165084772,0.012159014533584943
f20,0.00984163902294742,0.01224732152772913
f6,0.0097867542858958,0.011173183631830988
f9,0.009632484727873052,0.013315553931138287
f2,0.009261768869715761,0.013600032379835432
f5,0.00907619027068507,0.011431020295927574
f22,0.00863976691563522,0.0129191820456841
f18,0.008610386230670414,0.014779056950874427
f8,0.00822579388921424,0.00991817967089518
f7,0.00797589924540373,0.012611562701523249
f3,0.007562135848466904,0.012745539785167003
