,hist_dw,hist_lg
f3,0.17257114373142213,0.181864736206924
f12,0.07979177756262673,0.07608058042639546
f9,0.060009231836238956,0.05867447069804887
f28,0.05692876378971049,0.052210135614653895
f7,0.05589362610139708,0.05119614105199063
f1,0.05539040083189538,0.05730359535352417
f5,0.05478707111833159,0.05225234108595152
f6,0.05272538475969732,0.04774158647424809
f15,0.05197970510961378,0.04745022531898219
f19,0.050830522377515244,0.04566365891265625
f31,0.050213313385897615,0.04974397229069486
f14,0.04283364618962627,0.04140230291523554
f24,0.041703715013598874,0.0406376334883073
f29,0.04116685339039948,0.03958414030039716
f17,0.03470606136244411,0.03555053559859383
f21,0.031783719874167594,0.035047193315135304
f25,0.00484313864049069,0.006112155613644069
f22,0.004681516405715623,0.005460069378520289
f0,0.004449704580728228,0.004990385823522377
f20,0.004441685912603657,0.005174247587350511
f13,0.004350969942217782,0.005552478298114707
f11,0.0043235691866445655,0.0055825499966706115
f26,0.004242253809990211,0.005591420028579844
f4,0.00422471129141713,0.004949988983401813
f8,0.004186337613251403,0.005415506495544075
f30,0.0040205002016517645,0.0064165450226618325
f10,0.004000911052768024,0.005310034009887176
f16,0.003995780375305218,0.00578348555903696
f2,0.0038507899535959104,0.0059160392373558916
f27,0.003782998130239739,0.005040727283241618
f18,0.0037591116821945963,0.005359446786271409
f23,0.0035310847866031688,0.004941670844457779
