,hist_dw,hist_lg
0,0.665951,0.662157
1,0.641912,0.636739
2,0.621436,0.612681
3,0.603383,0.592812
4,0.587272,0.574911
5,0.572449,0.558766
6,0.558349,0.545383
7,0.542877,0.532887
8,0.532728,0.519604
9,0.523628,0.507088
10,0.510672,0.494407
11,0.501356,0.482927
12,0.490778,0.470919
13,0.48402,0.460801
14,0.474857,0.451521
15,0.468504,0.443481
16,0.460452,0.434817
17,0.454185,0.42693
18,0.446479,0.418427
19,0.441047,0.412122
20,0.435931,0.405884
21,0.431104,0.399381
22,0.425324,0.392693
23,0.419803,0.386842
24,0.415184,0.381562
25,0.411109,0.375462
26,0.405325,0.370674
27,0.401691,0.365519
28,0.398442,0.3606
29,0.394211,0.355732
30,0.391428,0.35179
31,0.386306,0.348188
32,0.384576,0.344209
33,0.379727,0.341136
34,0.375452,0.338092
35,0.371647,0.335451
36,0.369194,0.332981
37,0.366357,0.330189
38,0.363527,0.326583
39,0.360702,0.324682
40,0.358789,0.322344
41,0.356602,0.319048
42,0.355155,0.316945
43,0.352112,0.314358
44,0.350074,0.312358
45,0.348274,0.310371
46,0.345506,0.3088
47,0.343272,0.306109
48,0.340251,0.304085
49,0.339016,0.302581
