,EQBIN_dw,EQBIN_lg
0,0.659599,0.654522
1,0.630237,0.621757
2,0.60418,0.593285
3,0.582847,0.567566
4,0.561412,0.545328
5,0.543819,0.52528
6,0.528189,0.508141
7,0.511993,0.491487
8,0.498858,0.475008
9,0.485614,0.461243
10,0.474002,0.448158
11,0.46042,0.436068
12,0.45045,0.422382
13,0.437444,0.409827
14,0.426954,0.398276
15,0.417476,0.387489
16,0.409901,0.378043
17,0.402078,0.368241
18,0.395074,0.358957
19,0.387282,0.351379
20,0.380161,0.342923
21,0.374701,0.336527
22,0.369384,0.329059
23,0.364069,0.321728
24,0.357905,0.316579
25,0.353413,0.310596
26,0.34638,0.304582
27,0.340511,0.3006
28,0.336674,0.294348
29,0.333609,0.290282
30,0.328321,0.284859
31,0.324198,0.280317
32,0.31941,0.275483
33,0.315374,0.272391
34,0.310796,0.267596
35,0.306249,0.263331
36,0.303692,0.259816
37,0.300888,0.256565
38,0.297552,0.253324
39,0.29369,0.249198
40,0.290703,0.245604
41,0.287835,0.242241
42,0.285743,0.240207
43,0.282918,0.237105
44,0.280052,0.234119
45,0.277271,0.231867
46,0.274134,0.229436
47,0.271547,0.227476
48,0.269197,0.224646
49,0.266604,0.222743
