,CPU,GPU,hist_256,hist_1024
0,611,534,632,623
1,575,566,560,557
2,593,567,585,568
3,571,550,599,592
4,553,578,606,588
5,570,570,597,590
6,588,565,621,607
7,610,600,590,611
8,608,572,589,620
9,569,576,589,609
10,556,558,601,579
11,590,564,573,542
12,541,541,565,573
13,578,439,535,543
14,507,500,519,482
15,425,492,503,515
16,528,434,530,519
17,468,469,412,461
18,466,480,407,478
19,375,454,497,468
20,440,345,428,457
21,455,447,453,435
22,437,427,439,475
23,439,401,440,436
24,432,415,426,406
25,378,386,405,423
26,339,360,421,359
27,372,306,409,364
28,377,360,402,362
29,332,354,386,298
30,290,358,360,332
31,288,366,351,343
32,323,306,283,335
33,279,302,347,329
34,259,292,343,311
35,323,293,236,304
36,276,256,320,302
37,297,307,317,209
38,314,211,267,318
39,320,252,278,307
40,304,233,254,249
41,219,216,221,190
42,283,210,214,235
43,266,277,152,208
44,205,214,134,251
45,163,255,212,264
46,247,142,295,142
47,171,249,148,161
48,259,144,263,185
49,153,125,153,242
