n_train,max_depth,CPU,GPU,hist_256,hist_1024
10000,5,1350,1352,1381,1380
10000,15,20122,19418,20467,20357
100000,5,1569,1567,1560,1557
100000,15,91411,88088,92975,94300
1000000,5,1598,1599,1594,1595
1000000,15,341319,338454,356076,351983
2000000,5,1600,1600,1600,1600
2000000,15,332436,335480,335903,335697
4000000,5,1600,1600,1600,1600
4000000,15,542859,528910,551295,544035
