,hist_dw,hist_lg
0,0.644531,0.637578
1,0.603804,0.590746
2,0.568389,0.550737
3,0.538082,0.516352
4,0.511781,0.486428
5,0.488373,0.460189
6,0.467651,0.43676
7,0.447703,0.416021
8,0.431203,0.397229
9,0.41508,0.380647
10,0.402171,0.365528
11,0.389313,0.352057
12,0.378071,0.339811
13,0.367707,0.328762
14,0.358878,0.318544
15,0.350476,0.309296
16,0.342522,0.300755
17,0.3353,0.292843
18,0.328328,0.28563
19,0.32251,0.279132
20,0.316748,0.273144
21,0.311311,0.267406
22,0.305897,0.262077
23,0.301378,0.257183
24,0.297023,0.252576
25,0.292149,0.248288
26,0.288186,0.244377
27,0.28512,0.240654
28,0.281295,0.23709
29,0.277941,0.23396
30,0.274396,0.230875
31,0.271714,0.228008
32,0.269431,0.225251
33,0.267351,0.222469
34,0.264434,0.219835
35,0.261462,0.217718
36,0.259539,0.215363
37,0.257656,0.213113
38,0.256,0.210989
39,0.254272,0.208883
40,0.25212,0.207147
41,0.250781,0.205434
42,0.249483,0.203763
43,0.24722,0.202039
44,0.246142,0.200541
45,0.244882,0.199274
46,0.243756,0.198091
47,0.24264,0.196439
48,0.241391,0.194917
49,0.23988,0.193606
