,hist_dw,hist_lg
0,0.667512,0.667512
1,0.647747,0.647747
2,0.627463,0.627463
3,0.611914,0.611914
4,0.597934,0.597934
5,0.585371,0.585371
6,0.573807,0.573807
7,0.564092,0.564092
8,0.554003,0.554003
9,0.545482,0.545482
10,0.537379,0.537379
11,0.529662,0.529662
12,0.523917,0.523917
13,0.518746,0.518746
14,0.513468,0.513468
15,0.508092,0.508092
16,0.504052,0.504052
17,0.499285,0.499285
18,0.49657,0.49657
19,0.492095,0.492095
20,0.4896,0.4896
21,0.485054,0.485054
22,0.479229,0.479229
23,0.475239,0.475239
24,0.473655,0.473655
25,0.470288,0.470288
26,0.465502,0.465502
27,0.462231,0.462231
28,0.4612,0.4612
29,0.45836,0.45836
30,0.457341,0.457341
31,0.453368,0.453368
32,0.449271,0.449271
33,0.446719,0.446719
34,0.443322,0.443322
35,0.442567,0.442567
36,0.44142,0.44142
37,0.440245,0.440245
38,0.437532,0.437532
39,0.434255,0.434255
40,0.433647,0.433647
41,0.431934,0.431934
42,0.429965,0.429965
43,0.429117,0.429117
44,0.428098,0.428098
45,0.426437,0.426437
46,0.425951,0.425951
47,0.423752,0.423752
48,0.422868,0.422868
49,0.422053,0.422053
