,hist_dw,hist_lg
f3,0.17007749648323134,0.152946756515075
f12,0.08011299238520085,0.07683023663456995
f9,0.05876598364799324,0.05708710843120814
f28,0.05783127892488341,0.049826675287091636
f7,0.0568176840862682,0.048280654672641504
f1,0.05636821636767866,0.057625262905001404
f5,0.05521653728478416,0.04905590407302467
f6,0.05236146467349358,0.045775248469543964
f15,0.051610392127432916,0.04475070819267596
f19,0.05123841824383347,0.04300571197329415
f31,0.04925579951010375,0.042833728352081754
f14,0.043552553906459485,0.04064360742731105
f24,0.04276664167466922,0.03886464267240414
f29,0.041168257031189565,0.04021175324486132
f17,0.034841722299020834,0.03452458898389331
f21,0.03167204766565587,0.03258108526529981
f25,0.00475221405956552,0.009481237073257246
f11,0.004558113393733876,0.008381830455504748
f22,0.004380552933455791,0.008500950236865153
f20,0.004337126742635961,0.009084510301393473
f0,0.004298444743919832,0.0097823072451909
f30,0.004261945465647737,0.0098224144215907
f4,0.0042043690002703206,0.008649124139104942
f10,0.004190862350872543,0.009061245470748833
f2,0.004173959063844706,0.008889175875578515
f16,0.00410812896620728,0.00840649330359149
f8,0.004092881352200153,0.009344004886789567
f13,0.004079440768774866,0.00851400927353609
f18,0.0038058903962068747,0.009182732710995156
f27,0.0037715513844170595,0.009659606528376271
f26,0.0037708727188077947,0.009377140435967022
f23,0.0035561603475411934,0.009019544541532
