,EQBIN_dw,EQBIN_lg
f19,0.0695719019511798,0.0695719019511798
f18,0.06756388180870673,0.06756388180870673
f13,0.06116318218658724,0.06116318218658724
f9,0.05981963023869924,0.05981963023869924
f8,0.05893256136799869,0.05893256136799869
f3,0.05613009531395306,0.05613009531395306
f22,0.05546474048579789,0.05546474048579789
f24,0.05381255071374383,0.05381255071374383
f21,0.053467186232966556,0.053467186232966556
f6,0.04977184316308094,0.04977184316308094
f16,0.0492694461311495,0.0492694461311495
f4,0.04803400024925095,0.04803400024925095
f15,0.04628878123686128,0.04628878123686128
f30,0.041380769560059164,0.041380769560059164
f29,0.040157130138412475,0.040157130138412475
f27,0.03537879804439634,0.03537879804439634
f10,0.01598886565047292,0.01598886565047292
f26,0.012544747781941886,0.012544747781941886
f7,0.011936129368398163,0.011936129368398163
f11,0.010458787925542926,0.010458787925542926
f31,0.010023839751237353,0.010023839751237353
f23,0.009976700999000103,0.009976700999000103
f28,0.009565282547657017,0.009565282547657017
f1,0.009454499978017068,0.009454499978017068
f5,0.009147252645247824,0.009147252645247824
f17,0.009066388494957644,0.009066388494957644
f2,0.008698362871208558,0.008698362871208558
f25,0.008512714580321448,0.008512714580321448
f12,0.007809912231289453,0.007809912231289453
f20,0.007355560459147299,0.007355560459147299
f14,0.007039948883393675,0.007039948883393675
f0,0.006214507009322996,0.006214507009322996
