,leaf_cnt_0,leaf_cnt_1,leaf_cnt_2,valid_loss
286,22,23,23,0.253251
287,23,21,21,0.252882
288,22,21,21,0.252389
289,22,22,22,0.251877
290,22,20,23,0.251297
291,21,21,24,0.250974
292,23,21,21,0.250544
293,21,20,22,0.250044
294,21,21,22,0.249598
295,20,21,21,0.249109
296,20,21,19,0.248663
297,23,21,20,0.248235
298,20,21,21,0.24782
299,22,21,21,0.247279
300,22,21,22,0.246791
301,21,21,20,0.246378
302,20,21,19,0.246076
303,20,20,21,0.245723
304,20,20,21,0.245359
305,23,22,20,0.244923
306,21,21,21,0.244426
307,21,21,20,0.244123
308,18,21,20,0.243755
309,18,20,20,0.243215
310,20,19,20,0.242887
311,21,20,21,0.24256
312,19,20,21,0.242215
313,21,22,19,0.241752
314,19,20,18,0.241339
315,22,20,21,0.240932
316,18,18,20,0.240562
317,21,20,21,0.240206
318,19,19,20,0.239856
319,20,18,20,0.239546
320,19,21,21,0.239135
321,21,20,20,0.238761
322,22,19,18,0.238364
323,20,19,20,0.238039
324,19,18,20,0.237781
325,21,19,20,0.237424
326,21,20,19,0.237072
327,20,20,19,0.236695
328,20,20,19,0.236384
329,20,18,18,0.236061
330,19,19,19,0.2357
331,20,19,19,0.235372
332,20,18,20,0.234967
333,18,20,20,0.234601
334,18,18,19,0.234296
335,20,19,18,0.234053
336,19,19,19,0.233743
337,19,19,18,0.233438
338,19,19,19,0.233147
339,20,18,19,0.232707
340,18,18,20,0.232482
341,19,19,18,0.232046
342,20,17,19,0.231719
343,18,18,20,0.231422
344,19,19,19,0.231075
345,19,18,17,0.230764
346,17,20,18,0.230405
347,19,18,20,0.23004
348,18,19,18,0.229701
349,17,17,20,0.229416
350,18,18,18,0.229146
351,20,20,16,0.22889
352,19,18,19,0.228611
353,19,20,18,0.228235
354,19,18,18,0.227825
355,19,18,18,0.227406
356,19,17,18,0.22711
357,18,18,18,0.226798
358,19,18,18,0.226556
359,19,17,18,0.226282
360,18,19,19,0.22595
361,19,18,18,0.225671
362,16,17,18,0.225435
363,19,19,16,0.225001
364,18,20,17,0.224622
365,16,17,17,0.224249
366,17,16,18,0.223918
367,18,17,17,0.223613
368,18,17,16,0.223391
369,16,19,17,0.223126
370,18,18,18,0.222776
371,18,16,17,0.222508
372,17,17,17,0.222249
373,17,17,18,0.221916
374,16,17,17,0.221671
