,leaf_cnt_0,leaf_cnt_1,leaf_cnt_2,valid_loss
0,90,88,86,1.079345
1,87,91,87,1.061158
2,85,91,86,1.044634
3,88,86,87,1.028364
4,87,90,85,1.012473
5,87,90,86,0.997937
6,85,87,86,0.983148
7,87,90,88,0.968884
8,82,85,86,0.954797
9,86,85,86,0.941959
10,83,87,88,0.929089
11,83,83,88,0.916664
12,88,84,79,0.904337
13,87,86,84,0.892524
14,85,88,85,0.880785
15,86,84,81,0.870081
16,85,85,87,0.859008
17,82,81,87,0.847932
18,83,82,84,0.836647
19,85,78,81,0.826504
20,82,82,83,0.81655
21,84,82,83,0.807265
22,80,81,83,0.797807
23,82,81,80,0.789168
24,77,78,77,0.780037
25,79,79,80,0.771184
26,80,73,77,0.763167
27,80,77,78,0.754529
28,77,74,74,0.746491
29,81,80,76,0.738493
30,79,76,75,0.73095
31,76,78,76,0.723781
32,74,72,72,0.716394
33,74,75,73,0.709467
34,75,72,71,0.702433
35,72,75,73,0.695836
36,72,71,71,0.689716
37,72,71,71,0.683136
38,73,71,74,0.676868
39,70,73,73,0.670928
40,71,70,70,0.665211
41,71,66,75,0.658948
42,69,70,71,0.6528
43,71,69,72,0.646869
44,71,68,70,0.641325
45,70,68,68,0.635662
46,67,65,70,0.630168
47,66,67,66,0.624874
48,67,65,68,0.619943
49,66,65,66,0.615219
50,66,67,67,0.610114
51,64,68,63,0.605294
52,65,68,65,0.60059
53,65,65,64,0.595966
54,68,64,66,0.591384
55,64,65,62,0.587171
56,63,62,62,0.582715
57,65,63,65,0.578526
58,64,62,59,0.574274
59,66,64,62,0.570219
60,62,61,61,0.566076
61,65,62,61,0.561831
62,61,59,60,0.557912
63,62,58,61,0.553978
64,57,61,58,0.550367
65,64,58,64,0.546655
66,63,60,58,0.543083
67,60,61,60,0.539152
68,59,57,59,0.535359
69,61,56,59,0.531858
70,59,58,58,0.52837
71,58,57,57,0.524832
72,58,58,57,0.521158
73,59,55,55,0.517899
74,56,54,56,0.514791
75,57,55,56,0.511342
76,57,52,54,0.508233
77,58,57,57,0.505108
78,55,54,53,0.501877
79,55,56,61,0.498761
80,54,53,54,0.496052
81,54,53,55,0.49299
82,48,50,55,0.490265
83,54,52,54,0.487535
84,58,53,53,0.48452
85,54,55,48,0.481909
86,50,49,52,0.479381
87,54,52,52,0.476393
88,54,51,50,0.473833
89,53,51,52,0.471247
90,50,50,50,0.468887
91,52,51,50,0.466518
92,49,50,51,0.463924
93,48,49,50,0.461439
94,49,48,51,0.458871
95,50,51,52,0.456679
96,49,48,48,0.454343
97,51,47,52,0.451896
98,45,48,50,0.449828
99,48,48,49,0.447766
100,52,44,50,0.445367
101,47,45,50,0.443314
102,49,46,46,0.4411
103,48,46,48,0.43895
104,46,45,49,0.436633
105,44,47,46,0.434514
106,47,44,45,0.432371
107,48,45,45,0.430518
108,47,44,47,0.428925
109,47,43,44,0.426846
110,45,43,45,0.424956
111,45,42,43,0.423149
112,43,45,45,0.421236
113,45,46,45,0.41946
114,46,44,45,0.41736
115,44,42,43,0.415435
116,44,43,43,0.413554
117,45,43,42,0.411679
