,auc_train,auc_valid,leaf_cnt,loss_train,loss_valid
0,0.779607,0.778003,730,0.670424,0.670557
1,0.78642,0.784846,725,0.651565,0.651809
2,0.790044,0.788429,728,0.63571,0.636066
3,0.792203,0.790547,704,0.622294,0.62276
4,0.794365,0.792683,712,0.610741,0.611306
5,0.796007,0.79431,710,0.600751,0.601407
6,0.797387,0.795632,686,0.592129,0.592889
7,0.798853,0.797069,692,0.58455,0.585399
8,0.800125,0.798332,666,0.577995,0.578923
9,0.801343,0.799476,669,0.572182,0.573212
10,0.802496,0.800617,663,0.567016,0.568116
11,0.803773,0.80189,643,0.562316,0.563477
12,0.804996,0.803091,641,0.558129,0.559361
13,0.806042,0.804111,630,0.554392,0.555692
14,0.807077,0.805126,619,0.550994,0.552354
15,0.808069,0.806096,622,0.547896,0.549317
16,0.809006,0.806999,614,0.5451,0.546593
17,0.809867,0.807824,613,0.542616,0.544175
18,0.810717,0.808632,602,0.540312,0.541941
19,0.811633,0.809518,597,0.538072,0.539761
20,0.812382,0.810233,582,0.536165,0.537917
21,0.813126,0.810941,580,0.534398,0.536213
22,0.814055,0.811853,585,0.532575,0.534436
23,0.814896,0.812664,576,0.530918,0.532836
24,0.815609,0.813353,574,0.529382,0.531352
25,0.816284,0.813978,570,0.528003,0.530044
26,0.817075,0.814746,579,0.526523,0.52861
27,0.817736,0.815381,559,0.525256,0.527397
28,0.818388,0.815991,559,0.524064,0.526268
29,0.818994,0.81656,552,0.522919,0.525183
30,0.819525,0.817053,556,0.521905,0.524225
31,0.820077,0.817572,557,0.520931,0.523308
32,0.820735,0.818209,542,0.519865,0.522287
33,0.821203,0.818639,541,0.519051,0.521528
34,0.821702,0.819109,541,0.518219,0.520742
35,0.822098,0.819469,543,0.51752,0.520097
36,0.822599,0.819947,537,0.51668,0.519301
37,0.822973,0.82029,540,0.516017,0.518687
38,0.823347,0.820638,537,0.515382,0.518096
39,0.823752,0.821014,542,0.514678,0.51744
40,0.824183,0.821417,526,0.514021,0.51683
41,0.824583,0.821791,532,0.513365,0.516217
42,0.824934,0.822108,530,0.512772,0.515674
43,0.825375,0.822513,525,0.512122,0.515072
44,0.825673,0.822778,531,0.511619,0.514618
45,0.826013,0.823094,518,0.511105,0.514141
