,hist_dw,hist_lg
0,0.656447,0.652443
1,0.626417,0.618465
2,0.599273,0.588795
3,0.576148,0.562834
4,0.555497,0.539918
5,0.536762,0.519424
6,0.520612,0.50114
7,0.506088,0.484525
8,0.493315,0.469452
9,0.480799,0.456189
10,0.470313,0.443748
11,0.460588,0.432245
12,0.450931,0.421648
13,0.442645,0.412078
14,0.433938,0.403168
15,0.426736,0.394916
16,0.420188,0.386945
17,0.414714,0.380017
18,0.407947,0.372822
19,0.402131,0.366315
20,0.396612,0.36046
21,0.392791,0.354572
22,0.387695,0.349487
23,0.383788,0.344676
24,0.380516,0.340321
25,0.377504,0.336176
26,0.374632,0.331907
27,0.372211,0.328437
28,0.368265,0.325024
29,0.366001,0.321512
30,0.361812,0.318059
31,0.35982,0.314855
32,0.356083,0.311354
33,0.354298,0.309178
34,0.353212,0.307208
35,0.350283,0.304592
36,0.348466,0.302856
37,0.347196,0.300249
38,0.345697,0.29756
39,0.342783,0.295387
40,0.340505,0.294014
41,0.338095,0.292187
42,0.336719,0.290884
43,0.334965,0.288991
44,0.333899,0.287138
45,0.333019,0.284808
46,0.330277,0.282815
47,0.329745,0.281522
48,0.328981,0.281062
49,0.328236,0.278953
